,repo,week,commits,total commits
157,plotly.py,2,3.0,581.0
158,plotly.py,3,1.0,581.0
159,plotly.py,4,2.0,581.0
160,plotly.py,5,0.0,581.0
161,plotly.py,6,9.0,581.0
162,plotly.py,7,10.0,581.0
163,plotly.py,8,19.0,581.0
164,plotly.py,9,11.0,581.0
165,plotly.py,10,12.0,581.0
166,plotly.py,11,12.0,581.0
167,plotly.py,12,8.0,581.0
168,plotly.py,13,2.0,581.0
169,plotly.py,14,7.0,581.0
170,plotly.py,15,14.0,581.0
171,plotly.py,16,4.0,581.0
172,plotly.py,17,9.0,581.0
173,plotly.py,18,0.0,581.0
174,plotly.py,19,1.0,581.0
175,plotly.py,20,0.0,581.0
176,plotly.py,21,13.0,581.0
177,plotly.py,22,4.0,581.0
178,plotly.py,23,6.0,581.0
179,plotly.py,24,16.0,581.0
180,plotly.py,25,3.0,581.0
181,plotly.py,26,13.0,581.0
182,plotly.py,27,29.0,581.0
183,plotly.py,28,11.0,581.0
184,plotly.py,29,22.0,581.0
185,plotly.py,30,19.0,581.0
186,plotly.py,31,14.0,581.0
187,plotly.py,32,12.0,581.0
188,plotly.py,33,8.0,581.0
189,plotly.py,34,13.0,581.0
190,plotly.py,35,20.0,581.0
191,plotly.py,36,23.0,581.0
192,plotly.py,37,11.0,581.0
193,plotly.py,38,8.0,581.0
194,plotly.py,39,7.0,581.0
195,plotly.py,40,8.0,581.0
196,plotly.py,41,20.0,581.0
197,plotly.py,42,33.0,581.0
198,plotly.py,43,54.0,581.0
199,plotly.py,44,16.0,581.0
200,plotly.py,45,19.0,581.0
201,plotly.py,46,18.0,581.0
202,plotly.py,47,13.0,581.0
203,plotly.py,48,6.0,581.0
204,plotly.py,49,9.0,581.0
205,plotly.py,50,0.0,581.0
206,plotly.py,51,5.0,581.0
207,plotly.py,52,3.0,581.0
208,datashader,1,4.0,137.0
209,datashader,2,4.0,137.0
210,datashader,3,4.0,137.0
211,datashader,4,6.0,137.0
212,datashader,5,2.0,137.0
213,datashader,6,8.0,137.0
214,datashader,7,12.0,137.0
215,datashader,8,4.0,137.0
216,datashader,9,10.0,137.0
217,datashader,10,7.0,137.0
218,datashader,11,4.0,137.0
219,datashader,12,10.0,137.0
220,datashader,13,0.0,137.0
221,datashader,14,1.0,137.0
222,datashader,15,1.0,137.0
223,datashader,16,10.0,137.0
224,datashader,17,3.0,137.0
225,datashader,18,5.0,137.0
226,datashader,19,0.0,137.0
227,datashader,20,0.0,137.0
228,datashader,21,0.0,137.0
229,datashader,22,1.0,137.0
230,datashader,23,5.0,137.0
231,datashader,24,1.0,137.0
232,datashader,25,2.0,137.0
233,datashader,26,1.0,137.0
234,datashader,27,1.0,137.0
235,datashader,28,0.0,137.0
236,datashader,29,0.0,137.0
237,datashader,30,2.0,137.0
238,datashader,31,6.0,137.0
239,datashader,32,0.0,137.0
240,datashader,33,0.0,137.0
241,datashader,34,1.0,137.0
242,datashader,35,2.0,137.0
243,datashader,36,0.0,137.0
244,datashader,37,1.0,137.0
245,datashader,38,2.0,137.0
246,datashader,39,2.0,137.0
247,datashader,40,8.0,137.0
248,datashader,41,1.0,137.0
249,datashader,42,0.0,137.0
250,datashader,43,1.0,137.0
251,datashader,44,0.0,137.0
252,datashader,45,0.0,137.0
253,datashader,46,1.0,137.0
254,datashader,47,1.0,137.0
255,datashader,48,0.0,137.0
256,datashader,49,2.0,137.0
257,datashader,50,0.0,137.0
258,datashader,51,1.0,137.0
259,datashader,52,0.0,137.0
260,pygal,1,0.0,19.0
261,pygal,2,0.0,19.0
262,pygal,3,0.0,19.0
263,pygal,4,0.0,19.0
264,pygal,5,0.0,19.0
265,pygal,6,0.0,19.0
266,pygal,7,1.0,19.0
267,pygal,8,0.0,19.0
268,pygal,9,0.0,19.0
269,pygal,10,0.0,19.0
270,pygal,11,0.0,19.0
271,pygal,12,0.0,19.0
272,pygal,13,0.0,19.0
273,pygal,14,0.0,19.0
274,pygal,15,0.0,19.0
275,pygal,16,0.0,19.0
276,pygal,17,1.0,19.0
277,pygal,18,1.0,19.0
278,pygal,19,0.0,19.0
279,pygal,20,0.0,19.0
280,pygal,21,0.0,19.0
281,pygal,22,1.0,19.0
282,pygal,23,0.0,19.0
283,pygal,24,0.0,19.0
284,pygal,25,11.0,19.0
285,pygal,26,1.0,19.0
286,pygal,27,0.0,19.0
287,pygal,28,0.0,19.0
288,pygal,29,0.0,19.0
289,pygal,30,0.0,19.0
290,pygal,31,0.0,19.0
291,pygal,32,0.0,19.0
292,pygal,33,0.0,19.0
293,pygal,34,0.0,19.0
294,pygal,35,0.0,19.0
295,pygal,36,0.0,19.0
296,pygal,37,0.0,19.0
297,pygal,38,0.0,19.0
298,pygal,39,0.0,19.0
299,pygal,40,0.0,19.0
300,pygal,41,0.0,19.0
301,pygal,42,0.0,19.0
302,pygal,43,0.0,19.0
303,pygal,44,2.0,19.0
